Round,Phase,Metric,Value
1,FIT,fit_time,17.26468915939331
1,FIT,peak_ram_mb,3.330130958557129
1,FIT,comm_size_mb,0.16963958740234375
1,FIT,model_size_mb,0.16963958740234375
1,FIT,dp_epsilon,0.14075549840862128
1,FIT,estimated_energy,37.073972129821776
1,EVAL,accuracy,0.08585
1,EVAL,accuracy_stddev,0.022301984216656596
1,EVAL,acc_global,0.21260000000000007
1,EVAL,acc_local_fp32,0.08575999999999999
1,EVAL,local_vs_global_gap,-0.12684
1,EVAL,quantization_error,-8.999999999999842e-05
1,EVAL,eval_time,17.021875143051147
1,EVAL,quantized_model_size_mb,0.009979248046875
1,EVAL,loss,2.3112312209701544
1,EVAL,num-examples,10000.0
2,FIT,fit_time,18.868564772605897
2,FIT,peak_ram_mb,3.2501081466674804
2,FIT,comm_size_mb,0.16963958740234375
2,FIT,model_size_mb,0.16963958740234375
2,FIT,dp_epsilon,0.14075549840862128
2,FIT,estimated_energy,40.28172335624695
2,EVAL,accuracy,0.09226
2,EVAL,accuracy_stddev,0.03834314019482494
2,EVAL,acc_global,0.34060000000000007
2,EVAL,acc_local_fp32,0.0924
2,EVAL,local_vs_global_gap,-0.24820000000000003
2,EVAL,quantization_error,0.00014000000000000053
2,EVAL,eval_time,16.06599795818329
2,EVAL,quantized_model_size_mb,0.009979248046875
2,EVAL,loss,2.307536377296448
2,EVAL,num-examples,10000.0
3,FIT,fit_time,17.11466464996338
3,FIT,peak_ram_mb,3.2461241722106933
3,FIT,comm_size_mb,0.16963958740234375
3,FIT,model_size_mb,0.16963958740234375
3,FIT,dp_epsilon,0.14075549840862128
3,FIT,estimated_energy,36.77392311096192
3,EVAL,accuracy,0.09249
3,EVAL,accuracy_stddev,0.017766060339872762
3,EVAL,acc_global,0.4384
3,EVAL,acc_local_fp32,0.09244
3,EVAL,local_vs_global_gap,-0.34596000000000005
3,EVAL,quantization_error,-4.9999999999998654e-05
3,EVAL,eval_time,15.71021502017975
3,EVAL,quantized_model_size_mb,0.009979248046875
3,EVAL,loss,2.3112594496536256
3,EVAL,num-examples,10000.0
