Round,Phase,Metric,Value
1,FIT,fit_time,17.257015442848207
1,FIT,peak_ram_mb,3.396696758270264
1,FIT,comm_size_mb,0.16963958740234375
1,FIT,model_size_mb,0.16963958740234375
1,FIT,dp_epsilon,0.14075549840862128
1,FIT,estimated_energy,37.05862469673157
1,EVAL,accuracy,0.10506
1,EVAL,accuracy_stddev,0.015064607528906954
1,EVAL,acc_global,0.24190000000000006
1,EVAL,acc_local_fp32,0.10536999999999999
1,EVAL,local_vs_global_gap,-0.13652999999999998
1,EVAL,quantization_error,0.0003099999999999978
1,EVAL,eval_time,15.40411560535431
1,EVAL,quantized_model_size_mb,0.009979248046875
1,EVAL,loss,2.3101983988189696
1,EVAL,num-examples,10000.0
2,FIT,fit_time,19.407202124595642
2,FIT,peak_ram_mb,3.28438024520874
2,FIT,comm_size_mb,0.16963958740234375
2,FIT,model_size_mb,0.16963958740234375
2,FIT,dp_epsilon,0.14075549840862128
2,FIT,estimated_energy,41.35899806022644
2,EVAL,accuracy,0.09356
2,EVAL,accuracy_stddev,0.03721809237454279
2,EVAL,acc_global,0.2647
2,EVAL,acc_local_fp32,0.09348000000000001
2,EVAL,local_vs_global_gap,-0.17121999999999998
2,EVAL,quantization_error,-8.000000000000159e-05
2,EVAL,eval_time,15.84749414920807
2,EVAL,quantized_model_size_mb,0.009979248046875
2,EVAL,loss,2.3112554280090327
2,EVAL,num-examples,10000.0
3,FIT,fit_time,17.428945350646973
3,FIT,peak_ram_mb,3.283932399749756
3,FIT,comm_size_mb,0.16963958740234375
3,FIT,model_size_mb,0.16963958740234375
3,FIT,dp_epsilon,0.14075549840862128
3,FIT,estimated_energy,37.4024845123291
3,EVAL,accuracy,0.09803
3,EVAL,accuracy_stddev,0.014937339120472562
3,EVAL,acc_global,0.4566
3,EVAL,acc_local_fp32,0.098
3,EVAL,local_vs_global_gap,-0.3586
3,EVAL,quantization_error,-3.0000000000000858e-05
3,EVAL,eval_time,14.614954257011414
3,EVAL,quantized_model_size_mb,0.009979248046875
3,EVAL,loss,2.3103070049667362
3,EVAL,num-examples,10000.0
